Frames: 33647
Total Bytes: 23423115
Snapshot Header Bytes: 605628
Events: 32769
Event Bytes: 776818
Reliable Game Data Bytes: 306495
Game Data Bytes: 143110
State String Bytes: 0

Name                               Count     Bytes    Header     Flags    Fields
State_Reconstitute                    12       180        48        12       120
State_Riposte                          5        75        20         5        50
State_Sacrifice                        9       135        36         9        90
State_ShieldTower                   1757     15819      7028      1757      7034
State_Spawned                        170      2550       680       170      1700
State_SpeedBoost                       3        45        12         3        30
State_Stealth                         26       390       104        26       260
State_SteamBoost                       4        60        16         4        40
State_Stunned                         53       795       212        53       530


Building_Academy                   Count    Bytes
=================================================
m_v3Position                           1       12
m_v3Angles[PITCH]                      1        4
m_v3Angles[ROLL]                       1        4
m_v3Angles[YAW]                        1        4
m_yStatus                              2        2
m_fHealth                           1696     6784
m_uiNetFlags                           1        4
m_ayAnim[0]                            2        2
m_ayAnimSequence[0]                    2        2
m_afAnimSpeed[0]                       2        8
m_ayAnim[1]                            1        1
m_ayAnimSequence[1]                    1        1
m_afAnimSpeed[1]                       1        4
m_ahEffect[0]                          1        2
m_ayEffectSequence[0]                  1        1
m_ahEffect[1]                          1        2
m_ayEffectSequence[1]                  1        1
m_ahEffect[2]                          1        2
m_ayEffectSequence[2]                  1        1
m_ahEffect[3]                          1        2
m_ayEffectSequence[3]                  1        1
m_ahEffect[4]                          1        2
m_ayEffectSequence[4]                  1        1
m_ahEffect[5]                          1        2
m_ayEffectSequence[5]                  1        1
m_ahEffect[6]                          1        2
m_ayEffectSequence[6]                  1        1
m_ahEffect[7]                          1        2
m_ayEffectSequence[7]                  1        1
m_iTeam                                1        1
m_ySquad                               1        1
m_uiFoundation                         1        4
m_uiBuildAnimTime                      1        4
m_uiStartBuildTime                     1        4
m_uiBuildTime                          1        4
m_fUpkeepLevel                         1        4
m_fFoundationScale                     1        4
Total                               1736     6882


Building_Armory                    Count    Bytes
=================================================
m_v3Position                           1       12
m_v3Angles[PITCH]                      1        4
m_v3Angles[ROLL]                       1        4
m_v3Angles[YAW]                        1        4
m_yStatus                              2        2
m_fHealth                           1200     4800
m_uiNetFlags                           1        4
m_ayAnim[0]                            2        2
m_ayAnimSequence[0]                    2        2
m_afAnimSpeed[0]                       2        8
m_ayAnim[1]                            1        1
m_ayAnimSequence[1]                    1        1
m_afAnimSpeed[1]                       1        4
m_ahEffect[0]                          1        2
m_ayEffectSequence[0]                  1        1
m_ahEffect[1]                          1        2
m_ayEffectSequence[1]                  1        1
m_ahEffect[2]                          1        2
m_ayEffectSequence[2]                  1        1
m_ahEffect[3]                          1        2
m_ayEffectSequence[3]                  1        1
m_ahEffect[4]                          1        2
m_ayEffectSequence[4]                  1        1
m_ahEffect[5]                          1        2
m_ayEffectSequence[5]                  1        1
m_ahEffect[6]                          1        2
m_ayEffectSequence[6]                  1        1
m_ahEffect[7]                          1        2
m_ayEffectSequence[7]                  1        1
m_iTeam                                1        1
m_ySquad                               1        1
m_uiFoundation                         1        4
m_uiBuildAnimTime                      3       12
m_uiStartBuildTime                     1        4
m_uiBuildTime                          1        4
m_fUpkeepLevel                         1        4
m_fFoundationScale                     1        4
Total                               1242     4906


Building_Garrison                  Count    Bytes
=================================================
m_v3Position                           2       24
m_v3Angles[PITCH]                      2        8
m_v3Angles[ROLL]                       2        8
m_v3Angles[YAW]                        2        8
m_yStatus                              4        4
m_fHealth                           3504    14016
m_uiNetFlags                           2        8
m_ayAnim[0]                            4        4
m_ayAnimSequence[0]                    4        4
m_afAnimSpeed[0]                       4       16
m_ayAnim[1]                            2        2
m_ayAnimSequence[1]                    2        2
m_afAnimSpeed[1]                       2        8
m_ahEffect[0]                          2        4
m_ayEffectSequence[0]                  2        2
m_ahEffect[1]                          2        4
m_ayEffectSequence[1]                  2        2
m_ahEffect[2]                          2        4
m_ayEffectSequence[2]                  2        2
m_ahEffect[3]                          2        4
m_ayEffectSequence[3]                  2        2
m_ahEffect[4]                          9       18
m_ayEffectSequence[4]                 15       15
m_ahEffect[5]                          2        4
m_ayEffectSequence[5]                  2        2
m_ahEffect[6]                          2        4
m_ayEffectSequence[6]                  2        2
m_ahEffect[7]                          2        4
m_ayEffectSequence[7]                  2        2
m_iTeam                                2        2
m_ySquad                               2        2
m_uiFoundation                         2        8
m_uiBuildAnimTime                    694     2776
m_uiStartBuildTime                     2        8
m_uiBuildTime                          2        8
m_fUpkeepLevel                         2        8
m_fFoundationScale                     2        8
Total                               4296    17007


Building_GroveMine                 Count    Bytes
=================================================
m_v3Position                           5       60
m_v3Angles[PITCH]                      5       20
m_v3Angles[ROLL]                       5       20
m_v3Angles[YAW]                        5       20
m_yStatus                             13       13
m_fHealth                           3869    15476
m_uiNetFlags                           5       20
m_ayAnim[0]                           13       13
m_ayAnimSequence[0]                   13       13
m_afAnimSpeed[0]                      10       40
m_ayAnim[1]                            5        5
m_ayAnimSequence[1]                    5        5
m_afAnimSpeed[1]                       5       20
m_ahEffect[0]                          5       10
m_ayEffectSequence[0]                  5        5
m_ahEffect[1]                          5       10
m_ayEffectSequence[1]                  5        5
m_ahEffect[2]                          5       10
m_ayEffectSequence[2]                  5        5
m_ahEffect[3]                          5       10
m_ayEffectSequence[3]                  5        5
m_ahEffect[4]                          9       18
m_ayEffectSequence[4]                  9        9
m_ahEffect[5]                          5       10
m_ayEffectSequence[5]                  5        5
m_ahEffect[6]                          9       18
m_ayEffectSequence[6]                  9        9
m_ahEffect[7]                          5       10
m_ayEffectSequence[7]                  5        5
m_iTeam                                5        5
m_ySquad                               5        5
m_uiFoundation                         5       20
m_uiBuildAnimTime                   1202     4808
m_uiStartBuildTime                     5       20
m_uiBuildTime                          5       20
m_fUpkeepLevel                         5       20
m_fFoundationScale                     5       20
Total                               5291    20787


Building_Lair                      Count    Bytes
=================================================
m_v3Position                           1       12
m_v3Angles[PITCH]                      1        4
m_v3Angles[ROLL]                       1        4
m_v3Angles[YAW]                        1        4
m_yStatus                              2        2
m_fHealth                            157      628
m_uiNetFlags                           1        4
m_ayAnim[0]                            2        2
m_ayAnimSequence[0]                    2        2
m_afAnimSpeed[0]                       1        4
m_ayAnim[1]                            1        1
m_ayAnimSequence[1]                    1        1
m_afAnimSpeed[1]                       1        4
m_ahEffect[0]                          1        2
m_ayEffectSequence[0]                  1        1
m_ahEffect[1]                          1        2
m_ayEffectSequence[1]                  1        1
m_ahEffect[2]                          1        2
m_ayEffectSequence[2]                  1        1
m_ahEffect[3]                          1        2
m_ayEffectSequence[3]                  1        1
m_ahEffect[4]                          3        6
m_ayEffectSequence[4]                  3        3
m_ahEffect[5]                          1        2
m_ayEffectSequence[5]                  1        1
m_ahEffect[6]                          2        4
m_ayEffectSequence[6]                  2        2
m_ahEffect[7]                          1        2
m_ayEffectSequence[7]                  1        1
m_iTeam                                1        1
m_ySquad                               1        1
m_uiFoundation                         1        4
m_uiBuildAnimTime                      1        4
m_uiStartBuildTime                     1        4
m_uiBuildTime                          1        4
m_fUpkeepLevel                         1        4
m_fFoundationScale                     1        4
Total                                202      731


Building_Monastery                 Count    Bytes
=================================================
m_v3Position                           1       12
m_v3Angles[PITCH]                      1        4
m_v3Angles[ROLL]                       1        4
m_v3Angles[YAW]                        1        4
m_yStatus                              2        2
m_fHealth                           1201     4804
m_uiNetFlags                           1        4
m_ayAnim[0]                            2        2
m_ayAnimSequence[0]                    2        2
m_afAnimSpeed[0]                       2        8
m_ayAnim[1]                            1        1
m_ayAnimSequence[1]                    1        1
m_afAnimSpeed[1]                       1        4
m_ahEffect[0]                          1        2
m_ayEffectSequence[0]                  1        1
m_ahEffect[1]                          1        2
m_ayEffectSequence[1]                  1        1
m_ahEffect[2]                          1        2
m_ayEffectSequence[2]                  1        1
m_ahEffect[3]                          1        2
m_ayEffectSequence[3]                  1        1
m_ahEffect[4]                          1        2
m_ayEffectSequence[4]                  1        1
m_ahEffect[5]                          1        2
m_ayEffectSequence[5]                  1        1
m_ahEffect[6]                          1        2
m_ayEffectSequence[6]                  1        1
m_ahEffect[7]                          1        2
m_ayEffectSequence[7]                  1        1
m_iTeam                                1        1
m_ySquad                               1        1
m_uiFoundation                         1        4
m_uiBuildAnimTime                      1        4
m_uiStartBuildTime                     1        4
m_uiBuildTime                          1        4
m_fUpkeepLevel                         1        4
m_fFoundationScale                     1        4
Total                               1241     4902


Building_Nexus                     Count    Bytes
=================================================
m_v3Position                           1       12
m_v3Angles[PITCH]                      1        4
m_v3Angles[ROLL]                       1        4
m_v3Angles[YAW]                        1        4
m_yStatus                              3        3
m_fHealth                           2359     9436
m_uiNetFlags                           1        4
m_ayAnim[0]                            3        3
m_ayAnimSequence[0]                    3        3
m_afAnimSpeed[0]                       2        8
m_ayAnim[1]                            1        1
m_ayAnimSequence[1]                    1        1
m_afAnimSpeed[1]                       1        4
m_ahEffect[0]                          1        2
m_ayEffectSequence[0]                  1        1
m_ahEffect[1]                          1        2
m_ayEffectSequence[1]                  1        1
m_ahEffect[2]                          1        2
m_ayEffectSequence[2]                  1        1
m_ahEffect[3]                          1        2
m_ayEffectSequence[3]                  1        1
m_ahEffect[4]                          3        6
m_ayEffectSequence[4]                  3        3
m_ahEffect[5]                          1        2
m_ayEffectSequence[5]                  1        1
m_ahEffect[6]                          4        8
m_ayEffectSequence[6]                  4        4
m_ahEffect[7]                          1        2
m_ayEffectSequence[7]                  1        1
m_iTeam                                1        1
m_ySquad                               1        1
m_uiFoundation                         1        4
m_uiBuildAnimTime                     13       52
m_uiStartBuildTime                     1        4
m_uiBuildTime                          1        4
m_fUpkeepLevel                         1        4
m_fFoundationScale                     1        4
Total                               2424     9600


Building_Sanctuary                 Count    Bytes
=================================================
m_v3Position                           1       12
m_v3Angles[PITCH]                      1        4
m_v3Angles[ROLL]                       1        4
m_v3Angles[YAW]                        1        4
m_yStatus                              3        3
m_fHealth                           1538     6152
m_uiNetFlags                           1        4
m_ayAnim[0]                            3        3
m_ayAnimSequence[0]                    3        3
m_afAnimSpeed[0]                       2        8
m_ayAnim[1]                            1        1
m_ayAnimSequence[1]                    1        1
m_afAnimSpeed[1]                       1        4
m_ahEffect[0]                          1        2
m_ayEffectSequence[0]                  1        1
m_ahEffect[1]                          1        2
m_ayEffectSequence[1]                  1        1
m_ahEffect[2]                          1        2
m_ayEffectSequence[2]                  1        1
m_ahEffect[3]                          1        2
m_ayEffectSequence[3]                  1        1
m_ahEffect[4]                          1        2
m_ayEffectSequence[4]                  1        1
m_ahEffect[5]                          1        2
m_ayEffectSequence[5]                  1        1
m_ahEffect[6]                          2        4
m_ayEffectSequence[6]                  2        2
m_ahEffect[7]                          1        2
m_ayEffectSequence[7]                  1        1
m_iTeam                                1        1
m_ySquad                               1        1
m_uiFoundation                         1        4
m_uiBuildAnimTime                      1        4
m_uiStartBuildTime                     1        4
m_uiBuildTime                          1        4
m_fUpkeepLevel                         1        4
m_fFoundationScale                     1        4
Total                               1583     6256


Building_ShieldTower               Count    Bytes
=================================================
m_v3Position                           1       12
m_v3Angles[PITCH]                      1        4
m_v3Angles[ROLL]                       1        4
m_v3Angles[YAW]                        1        4
m_yStatus                              2        2
m_fHealth                           1503     6012
m_uiNetFlags                           1        4
m_ayAnim[0]                            2        2
m_ayAnimSequence[0]                    2        2
m_afAnimSpeed[0]                       2        8
m_ayAnim[1]                            1        1
m_ayAnimSequence[1]                    1        1
m_afAnimSpeed[1]                       1        4
m_ahEffect[0]                          1        2
m_ayEffectSequence[0]                  1        1
m_ahEffect[1]                          1        2
m_ayEffectSequence[1]                  1        1
m_ahEffect[2]                          1        2
m_ayEffectSequence[2]                  1        1
m_ahEffect[3]                          1        2
m_ayEffectSequence[3]                  1        1
m_ahEffect[4]                          1        2
m_ayEffectSequence[4]                  2        2
m_ahEffect[5]                          1        2
m_ayEffectSequence[5]                  1        1
m_ahEffect[6]                          1        2
m_ayEffectSequence[6]                  1        1
m_ahEffect[7]                          1        2
m_ayEffectSequence[7]                  1        1
m_iTeam                                1        1
m_ySquad                               1        1
m_uiFoundation                         1        4
m_uiBuildAnimTime                     13       52
m_uiStartBuildTime                     1        4
m_uiBuildTime                          1        4
m_fUpkeepLevel                         1        4
m_fFoundationScale                     1        4
Total                               1556     6159


Building_SiegeWorkshop             Count    Bytes
=================================================
m_v3Position                           1       12
m_v3Angles[PITCH]                      1        4
m_v3Angles[ROLL]                       1        4
m_v3Angles[YAW]                        1        4
m_yStatus                              2        2
m_fHealth                           1921     7684
m_uiNetFlags                           1        4
m_ayAnim[0]                            2        2
m_ayAnimSequence[0]                    2        2
m_afAnimSpeed[0]                       2        8
m_ayAnim[1]                            1        1
m_ayAnimSequence[1]                    1        1
m_afAnimSpeed[1]                       1        4
m_ahEffect[0]                          1        2
m_ayEffectSequence[0]                  1        1
m_ahEffect[1]                          1        2
m_ayEffectSequence[1]                  1        1
m_ahEffect[2]                          1        2
m_ayEffectSequence[2]                  1        1
m_ahEffect[3]                          1        2
m_ayEffectSequence[3]                  1        1
m_ahEffect[4]                          1        2
m_ayEffectSequence[4]                  1        1
m_ahEffect[5]                          1        2
m_ayEffectSequence[5]                  1        1
m_ahEffect[6]                          1        2
m_ayEffectSequence[6]                  1        1
m_ahEffect[7]                          1        2
m_ayEffectSequence[7]                  1        1
m_iTeam                                1        1
m_ySquad                               1        1
m_uiFoundation                         1        4
m_uiBuildAnimTime                     79      316
m_uiStartBuildTime                     1        4
m_uiBuildTime                          1        4
m_fUpkeepLevel                         1        4
m_fFoundationScale                     1        4
Total                               2039     8094


Building_SteamMine                 Count    Bytes
=================================================
m_v3Position                           8       96
m_v3Angles[PITCH]                      8       32
m_v3Angles[ROLL]                       8       32
m_v3Angles[YAW]                        8       32
m_yStatus                             21       21
m_fHealth                           9843    39372
m_uiNetFlags                           8       32
m_ayAnim[0]                           21       21
m_ayAnimSequence[0]                   21       21
m_afAnimSpeed[0]                      16       64
m_ayAnim[1]                            8        8
m_ayAnimSequence[1]                    8        8
m_afAnimSpeed[1]                       8       32
m_ahEffect[0]                          8       16
m_ayEffectSequence[0]                  8        8
m_ahEffect[1]                          8       16
m_ayEffectSequence[1]                  8        8
m_ahEffect[2]                          8       16
m_ayEffectSequence[2]                  8        8
m_ahEffect[3]                          8       16
m_ayEffectSequence[3]                  8        8
m_ahEffect[4]                         18       36
m_ayEffectSequence[4]                 30       30
m_ahEffect[5]                          8       16
m_ayEffectSequence[5]                  8        8
m_ahEffect[6]                         13       26
m_ayEffectSequence[6]                 13       13
m_ahEffect[7]                          8       16
m_ayEffectSequence[7]                  8        8
m_iTeam                                8        8
m_ySquad                               8        8
m_uiFoundation                         8       32
m_uiBuildAnimTime                    839     3356
m_uiStartBuildTime                     8       32
m_uiBuildTime                          8       32
m_fUpkeepLevel                         8       32
m_fFoundationScale                     8       32
Total                              11051    43552


Building_StrataSpire               Count    Bytes
=================================================
m_v3Position                           1       12
m_v3Angles[PITCH]                      1        4
m_v3Angles[ROLL]                       1        4
m_v3Angles[YAW]                        1        4
m_yStatus                              3        3
m_fHealth                            905     3620
m_uiNetFlags                           1        4
m_ayAnim[0]                            3        3
m_ayAnimSequence[0]                    3        3
m_afAnimSpeed[0]                       2        8
m_ayAnim[1]                            1        1
m_ayAnimSequence[1]                    1        1
m_afAnimSpeed[1]                       1        4
m_ahEffect[0]                          1        2
m_ayEffectSequence[0]                  1        1
m_ahEffect[1]                          1        2
m_ayEffectSequence[1]                  1        1
m_ahEffect[2]                          1        2
m_ayEffectSequence[2]                  1        1
m_ahEffect[3]                          1        2
m_ayEffectSequence[3]                  1        1
m_ahEffect[4]                          1        2
m_ayEffectSequence[4]                  1        1
m_ahEffect[5]                          1        2
m_ayEffectSequence[5]                  1        1
m_ahEffect[6]                          2        4
m_ayEffectSequence[6]                  2        2
m_ahEffect[7]                          1        2
m_ayEffectSequence[7]                  1        1
m_iTeam                                1        1
m_ySquad                               1        1
m_uiFoundation                         1        4
m_uiBuildAnimTime                      1        4
m_uiStartBuildTime                     1        4
m_uiBuildTime                          1        4
m_fUpkeepLevel                         1        4
m_fFoundationScale                     1        4
Total                                950     3724


Building_Stronghold                Count    Bytes
=================================================
m_v3Position                           1       12
m_v3Angles[PITCH]                      1        4
m_v3Angles[ROLL]                       1        4
m_v3Angles[YAW]                        1        4
m_yStatus                              1        1
m_fHealth                              6       24
m_uiNetFlags                           1        4
m_ayAnim[0]                            1        1
m_ayAnimSequence[0]                    1        1
m_afAnimSpeed[0]                       1        4
m_ayAnim[1]                            1        1
m_ayAnimSequence[1]                    1        1
m_afAnimSpeed[1]                       1        4
m_ahEffect[0]                          1        2
m_ayEffectSequence[0]                  1        1
m_ahEffect[1]                          1        2
m_ayEffectSequence[1]                  1        1
m_ahEffect[2]                          1        2
m_ayEffectSequence[2]                  1        1
m_ahEffect[3]                          1        2
m_ayEffectSequence[3]                  1        1
m_ahEffect[4]                          1        2
m_ayEffectSequence[4]                  1        1
m_ahEffect[5]                          1        2
m_ayEffectSequence[5]                  1        1
m_ahEffect[6]                          1        2
m_ayEffectSequence[6]                  1        1
m_ahEffect[7]                          1        2
m_ayEffectSequence[7]                  1        1
m_iTeam                                1        1
m_ySquad                               1        1
m_uiFoundation                         1        4
m_uiBuildAnimTime                      1        4
m_uiStartBuildTime                     1        4
m_uiBuildTime                          1        4
m_fUpkeepLevel                         1        4
m_fFoundationScale                     1        4
Total                                 42      115


Building_SubLair                   Count    Bytes
=================================================
m_v3Position                           1       12
m_v3Angles[PITCH]                      1        4
m_v3Angles[ROLL]                       1        4
m_v3Angles[YAW]                        1        4
m_yStatus                              3        3
m_fHealth                           1636     6544
m_uiNetFlags                           1        4
m_ayAnim[0]                            3        3
m_ayAnimSequence[0]                    3        3
m_afAnimSpeed[0]                       2        8
m_ayAnim[1]                            1        1
m_ayAnimSequence[1]                    1        1
m_afAnimSpeed[1]                       1        4
m_ahEffect[0]                          1        2
m_ayEffectSequence[0]                  1        1
m_ahEffect[1]                          1        2
m_ayEffectSequence[1]                  1        1
m_ahEffect[2]                          1        2
m_ayEffectSequence[2]                  1        1
m_ahEffect[3]                          1        2
m_ayEffectSequence[3]                  1        1
m_ahEffect[4]                          1        2
m_ayEffectSequence[4]                  1        1
m_ahEffect[5]                          1        2
m_ayEffectSequence[5]                  1        1
m_ahEffect[6]                          2        4
m_ayEffectSequence[6]                  2        2
m_ahEffect[7]                          1        2
m_ayEffectSequence[7]                  1        1
m_iTeam                                1        1
m_ySquad                               1        1
m_uiFoundation                         1        4
m_uiBuildAnimTime                     13       52
m_uiStartBuildTime                     1        4
m_uiBuildTime                          1        4
m_fUpkeepLevel                         1        4
m_fFoundationScale                     1        4
Total                               1693     6696


Consumable_AmmoPack                Count    Bytes
=================================================
m_uiOwnerIndex                        13       26
m_ySlot                               13       13
m_uiStartCooldown                     13       52
m_uiCooldownDuration                  13       52
m_unAmmo                              13       26
m_uiNetFlags                          13       52
Total                                 78      221


Consumable_AmmoSatchel             Count    Bytes
=================================================
m_uiOwnerIndex                         4        8
m_ySlot                                4        4
m_uiStartCooldown                      4       16
m_uiCooldownDuration                   4       16
m_unAmmo                               4        8
m_uiNetFlags                           4       16
Total                                 24       68


Consumable_Chainmail               Count    Bytes
=================================================
m_uiOwnerIndex                        17       34
m_ySlot                               17       17
m_uiStartCooldown                     17       68
